time,sst,dissolved_oxygen,chlorophyll,sst_norm,do_norm,chl_norm,stress_score,month_name
2015-01-01,24.567142071896757,208.46909,0.22036278,0.018054328177000478,0.7552507138054416,0.43645306346573076,19.2,Jan 2015
2015-02-01,24.94261725286584,210.01373,0.40482053,0.0762309525024647,0.8298016810237847,1.0,29.9,Feb 2015
2015-03-01,26.028441982068255,211.9498,0.16125508,0.24447008136064863,0.9232440975267746,0.2558698850874134,18.0,Mar 2015
2015-04-01,28.11041252958704,204.9536,0.120413445,0.5670533692548609,0.5855789575236958,0.1310923873942398,41.9,Apr 2015
2015-05-01,29.761246468893876,197.64644,0.11699906,0.8228357771969925,0.23290567605126533,0.12066091337010584,66.0,May 2015
2015-06-01,29.30538878453201,194.62297,0.10292458,0.7522045808006057,0.08698079261309744,0.07766119519479012,68.2,Jun 2015
2015-07-01,28.295421873676705,197.37558,0.09337512,0.5957189632896664,0.21983292865333226,0.0484861147793795,56.0,Jul 2015
2015-08-01,27.739388355842003,200.73709,0.08957556,0.5095663899133207,0.3820731546555134,0.03687787872442613,45.8,Aug 2015
2015-09-01,28.32605451151464,200.24811,0.105695255,0.6004652249706544,0.35847283562480037,0.08612604235127788,51.4,Sep 2015
2015-10-01,29.195015073748383,199.4402,0.108458795,0.7351031311359604,0.31947994753520703,0.09456908286472007,58.5,Oct 2015
2015-11-01,28.071246266409137,199.89034,0.09121559,0.5609848963047916,0.34120526150281627,0.04188842159898373,49.6,Nov 2015
2015-12-01,26.46357452860598,203.9824,0.08045176,0.31189009731582384,0.5387053038487668,0.009003252718028487,31.1,Dec 2015
2016-01-01,25.70398652557967,208.66888,0.12651283,0.19419852105733915,0.7648938074017764,0.1497269378076134,20.2,Jan 2016
2016-02-01,25.33519002244141,209.37682,0.24812032,0.13705669996481262,0.7990614664365978,0.5212566399008713,23.9,Feb 2016
2016-03-01,27.083439043904903,207.87625,0.12842433,0.40793273040320344,0.7266381070844403,0.15556688428618995,30.4,Mar 2016
2016-04-01,28.586293245472852,203.53152,0.11977561,0.640786960807751,0.5169439037664318,0.12914369751481894,47.5,Apr 2016
2016-05-01,30.062779454878097,196.69962,0.11514605,0.8695556994087994,0.18720813513587053,0.11499967665619579,69.6,May 2016
2016-06-01,30.28127753589104,193.57904,0.10330289,0.903410082918561,0.0365964754912671,0.07881699280155433,76.2,Jun 2016
2016-07-01,28.779606513458596,196.09691,0.09283512,0.6707391758641714,0.15811904441022406,0.046836344353480525,61.4,Jul 2016
2016-08-01,27.59202404461316,199.4941,0.089462474,0.4867335673783817,0.32208109360075277,0.03653238683700952,47.3,Aug 2016
2016-09-01,27.78536331653595,200.13844,0.10129645,0.5166898115194218,0.35317995998123486,0.07268700431286687,48.0,Sep 2016
2016-10-01,28.148729330821503,200.22714,0.09896131,0.5729902254407149,0.35746095150983415,0.06555279487298962,49.9,Oct 2016
2016-11-01,27.671960147086686,202.29669,0.089021504,0.49911897349668166,0.45734584416837265,0.035185155130023044,42.4,Nov 2016
2016-12-01,26.517476356108865,205.02673,0.07873819,0.32024171821656555,0.5891087687049428,0.0037680422371458022,29.3,Dec 2016
2017-01-01,25.678437657433854,208.09628,0.07750485,0.19023994541933353,0.7372577351323351,0.0,18.1,Jan 2017
2017-02-01,25.078847545050305,209.97043,0.15007606,0.09733865530643859,0.8277116321749673,0.2217162661190756,15.2,Feb 2017
2017-03-01,26.298458196355043,209.95137,0.111327104,0.28630675301442654,0.8267918044751195,0.1033322121198181,20.4,Mar 2017
2017-04-01,27.986954504480728,203.71959,0.11750232,0.5479246185128375,0.5260206662969669,0.12219844104354396,43.3,Apr 2017
2017-05-01,29.379131615999533,197.97203,0.113018885,0.7636303932655188,0.24862007433739564,0.10850086453779353,62.8,May 2017
2017-06-01,29.752799523344056,194.1044,0.10810688,0.8215269962099745,0.06195249447109141,0.0934939334169437,72.3,Jun 2017
2017-07-01,28.138405767815,197.04556,0.093636245,0.5713906788470373,0.20390495948412912,0.04928390102724997,55.7,Jul 2017
2017-08-01,27.604393250667133,199.53746,0.09319689,0.4886500686287416,0.3241740882548534,0.047941608820828124,47.5,Aug 2017
2017-09-01,28.144260987639427,198.58563,0.1013294,0.5722978944003785,0.2782349913061921,0.07278768362621804,53.2,Sep 2017
2017-10-01,28.767839731946147,199.04555,0.106810465,0.6689160150741484,0.30043237057052075,0.08953318236975252,56.5,Oct 2017
2017-11-01,27.922629432212673,200.89844,0.08988241,0.5379580061940459,0.38986039092309,0.03781535951130541,46.7,Nov 2017
2017-12-01,25.829598543471132,206.07156,0.08821769,0.21366101430862194,0.6395365364547079,0.03272938113042953,23.6,Dec 2017
2018-01-01,24.970177092143064,207.1169,0.34694812,0.08050111068432653,0.6899886070980639,0.8231908276797868,32.1,Jan 2018
2018-02-01,24.99197272537552,207.9972,0.38795242,0.08387815510901353,0.7324752202541784,0.9484653028652497,33.0,Feb 2018
2018-03-01,26.917980326482883,211.1646,0.15406361,0.38229633648765926,0.8853470490027338,0.2338988500000467,24.6,Mar 2018
2018-04-01,28.727017884776437,203.94351,0.12224923,0.6625910237366801,0.536828089431701,0.13670099680259531,47.8,Apr 2018
2018-05-01,29.836224487370995,197.53151,0.11492759,0.8344529711813005,0.2273587247019755,0.11433225225041485,66.6,May 2018
2018-06-01,30.018022345235714,194.20613,0.10165841,0.8626209732656802,0.06686241542777083,0.07379286060977522,73.3,Jun 2018
2018-07-01,28.324693638809332,197.25262,0.09478548,0.6002543695422684,0.21389860390923054,0.05279499818433522,56.5,Jul 2018
2018-08-01,26.610176057681528,201.82089,0.09160665,0.33460473336860996,0.4343818190789488,0.04308316614337934,36.9,Aug 2018
2018-09-01,27.060052836523255,203.33832,0.098405875,0.40430924030266535,0.5076189571407408,0.06385586018363518,37.1,Sep 2018
2018-10-01,28.948107691514775,202.94601,0.12101487,0.6968469726801203,0.4886847936794787,0.13292983607891792,51.0,Oct 2018
2018-11-01,28.35561665394426,201.73132,0.09497034,0.6050456226681673,0.4300588498250555,0.053359762924004045,48.1,Nov 2018
2018-12-01,26.372495739109066,204.1899,0.08006041,0.29777822843835366,0.5487195689108546,0.007807620429291784,30.1,Dec 2018
2019-01-01,25.277409274329447,208.5272,0.1613752,0.1281040739417607,0.7580558568868874,0.25623686494041975,19.9,Jan 2019
2019-02-01,24.67319046115205,209.00835,0.3204877,0.03448560676671297,0.7812776399386383,0.7423501875086769,25.0,Feb 2019
2019-03-01,25.33819347717,213.54013,0.18874297,0.13752205923828775,1.0,0.3398496347740112,12.3,Mar 2019
2019-04-01,28.115240593898225,206.19547,0.1170905,0.5678014359657579,0.6455165211807081,0.12094027968544804,39.3,Apr 2019
2019-05-01,29.65302241690589,199.63943,0.11925323,0.806067398527504,0.3290957924326676,0.12754776081627137,61.6,May 2019
2019-06-01,30.042596065742377,195.36574,0.10710988,0.8664284582304793,0.12282977001361672,0.09044794600656972,71.6,Jun 2019
2019-07-01,28.813944712325313,196.055,0.10245966,0.6760595821033428,0.15609601263161288,0.07624080424902671,62.3,Jul 2019
2019-08-01,27.67636348042615,200.35527,0.09939643,0.49980123182547054,0.3636449332517344,0.066882157879777,46.8,Aug 2019
2019-09-01,28.137790341304957,200.4015,0.10415836,0.5712953238443914,0.3658763807541696,0.08143058042978527,49.8,Sep 2019
2019-10-01,28.594267786166373,200.24155,0.11837968,0.6420225467575271,0.3581561615567992,0.12487892817481336,53.9,Oct 2019
2019-11-01,26.665334742141546,202.61163,0.09659611,0.3431510933592623,0.47254619943248954,0.05832673803782143,36.0,Nov 2019
2019-12-01,26.293339754746864,204.4256,0.096604034,0.28551369485861944,0.5600955324653505,0.058350957524460706,30.2,Dec 2019
2020-01-01,24.76555644553265,206.24876,0.23090744,0.048796915332815605,0.6480889456447372,0.4686686227240654,25.4,Jan 2020
2020-02-01,24.63802013629992,210.54228,0.29960892,0.02903626981973817,0.8553116183296829,0.6785622511484738,20.5,Feb 2020
2020-03-01,25.47335760793566,211.41595,0.11658307,0.15846456957289012,0.8974786116125113,0.11939000491377874,12.8,Mar 2020
2020-04-01,28.090662539402057,205.09682,0.123398304,0.5639932794868558,0.592491289622,0.14021159318082146,41.7,Apr 2020
2020-05-01,30.227687755632683,197.60434,0.121291295,0.8951068110332452,0.2308738068568026,0.13377435409941105,69.2,May 2020
2020-06-01,30.90467425263845,192.82079,0.11162546,1.0,0.0,0.10424374345672668,82.1,Jun 2020
2020-07-01,29.84603663961563,194.08641,0.0978339,0.8359732791108074,0.06108421836370681,0.06210839235486412,72.2,Jul 2020
2020-08-01,28.669830893226983,196.99506,0.09292612,0.6537303951457591,0.2014673056118319,0.04711436767097335,59.0,Aug 2020
2020-09-01,28.87328136267041,198.47076,0.1119816,0.6852532816894215,0.27269098576218553,0.10533179934146217,58.6,Sep 2020
2020-10-01,28.965196612142247,199.03914,0.107709646,0.699494752788798,0.30012306101572683,0.09228031861463079,57.8,Oct 2020
2020-11-01,27.74884078695753,201.59721,0.09022992,0.5110309621722671,0.42358617916534946,0.03887705621791274,44.3,Nov 2020
2020-12-01,26.244851080138655,205.33638,0.08648511,0.2780007950726979,0.6040535753606946,0.02743608030189318,27.5,Dec 2020
2021-01-01,24.4506184300022,209.68004,0.25150916,0.0,0.8136962270862362,0.5316100607110146,18.1,Jan 2021
2021-02-01,24.5930029872871,211.68895,0.20208892,0.022061252830431588,0.9106544621953745,0.38062359578478056,12.1,Feb 2021
2021-03-01,27.49945002873621,207.86578,0.12452484,0.47239002613532843,0.7261329014782785,0.14365333246592368,32.7,Mar 2021
2021-04-01,29.08912704210486,202.52177,0.13072182,0.7186966985680634,0.46820923760349764,0.16258607392720595,53.3,Apr 2021
2021-05-01,30.36750659112923,197.75844,0.12147814,0.9167705275146183,0.23831122874693378,0.1343451964734151,69.8,May 2021
2021-06-01,29.94437919552686,194.77545,0.10064095,0.8512106056251394,0.09434015066321066,0.07068436689271748,71.7,Jun 2021
